epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2108.25,1.4773,1.55157,1.5909,0.62761,0.56179,0.6213,0.36573,1.3631,1.38296,1.48843,0.0015941,0.0015941,0.0015941
43,2160.93,1.47932,1.5572,1.59467,0.61932,0.57801,0.61094,0.36182,1.35306,1.39349,1.50816,0.0015842,0.0015842,0.0015842
44,2214.36,1.46882,1.54749,1.59413,0.62919,0.62003,0.64798,0.37379,1.46034,1.32075,1.53063,0.0015743,0.0015743,0.0015743
45,2268.41,1.46218,1.53089,1.57957,0.64915,0.62234,0.67133,0.37623,1.50264,1.32104,1.54693,0.0015644,0.0015644,0.0015644
46,2324.97,1.44522,1.50641,1.5782,0.67994,0.61763,0.68323,0.40862,1.3749,1.25366,1.47402,0.0015545,0.0015545,0.0015545
47,2379.83,1.44267,1.50449,1.57128,0.63865,0.5932,0.63495,0.38271,1.37341,1.3225,1.47705,0.0015446,0.0015446,0.0015446
48,2434.94,1.45491,1.50798,1.56492,0.63551,0.60391,0.64721,0.39072,1.34405,1.32841,1.47173,0.0015347,0.0015347,0.0015347
49,2489.03,1.45499,1.5045,1.57071,0.6091,0.62752,0.63653,0.38987,1.31621,1.32066,1.45693,0.0015248,0.0015248,0.0015248
50,2543.91,1.44771,1.50413,1.56861,0.63058,0.63482,0.6692,0.40551,1.32045,1.28261,1.46033,0.0015149,0.0015149,0.0015149
51,2598.77,1.43426,1.48025,1.55079,0.66215,0.61043,0.66234,0.41483,1.26887,1.26388,1.43335,0.001505,0.001505,0.001505
52,2654.38,1.41847,1.47166,1.54495,0.66467,0.6327,0.68398,0.41305,1.37063,1.22502,1.46833,0.0014951,0.0014951,0.0014951
53,2709.03,1.42916,1.48499,1.55439,0.63248,0.6232,0.6653,0.40083,1.38699,1.31369,1.46579,0.0014852,0.0014852,0.0014852
54,2763.2,1.42335,1.44154,1.54413,0.65661,0.6114,0.67247,0.40549,1.35648,1.25431,1.47119,0.0014753,0.0014753,0.0014753
55,2817.75,1.42689,1.46384,1.55104,0.66569,0.63731,0.67663,0.41504,1.28609,1.25105,1.45216,0.0014654,0.0014654,0.0014654
56,2873.31,1.38632,1.44063,1.52819,0.69653,0.61773,0.69266,0.42183,1.3541,1.22245,1.4592,0.0014555,0.0014555,0.0014555
57,2927.7,1.4127,1.43252,1.54803,0.65772,0.61731,0.66201,0.41522,1.29267,1.24667,1.43109,0.0014456,0.0014456,0.0014456
58,2982.16,1.3982,1.4255,1.53758,0.70126,0.59585,0.6783,0.41851,1.36212,1.24845,1.46667,0.0014357,0.0014357,0.0014357
59,3036.75,1.40292,1.44617,1.53815,0.67888,0.64384,0.69146,0.43558,1.30266,1.19256,1.44903,0.0014258,0.0014258,0.0014258
60,3090.49,1.39329,1.42633,1.52273,0.69235,0.62925,0.69895,0.44317,1.28304,1.18793,1.41914,0.0014159,0.0014159,0.0014159
61,3145,1.38889,1.42217,1.52994,0.6907,0.64023,0.69652,0.43259,1.30654,1.19559,1.442,0.001406,0.001406,0.001406
62,3198.75,1.38542,1.39508,1.51292,0.69106,0.64709,0.70335,0.44384,1.28537,1.14814,1.41697,0.0013961,0.0013961,0.0013961
63,3253.1,1.38334,1.41054,1.51248,0.67898,0.62349,0.70171,0.43653,1.3233,1.16116,1.43414,0.0013862,0.0013862,0.0013862
64,3306.76,1.38105,1.40043,1.50814,0.69109,0.6298,0.69956,0.43359,1.32621,1.20371,1.43798,0.0013763,0.0013763,0.0013763
65,3361.85,1.37072,1.38658,1.51144,0.70335,0.63558,0.70487,0.43678,1.31433,1.16515,1.43555,0.0013664,0.0013664,0.0013664
66,3416.77,1.3663,1.39401,1.50821,0.69626,0.62925,0.70318,0.43561,1.35495,1.18185,1.44258,0.0013565,0.0013565,0.0013565
67,3473.11,1.36508,1.37662,1.50763,0.69813,0.64839,0.71261,0.45576,1.25483,1.14114,1.40157,0.0013466,0.0013466,0.0013466
68,3535.36,1.37204,1.36104,1.50082,0.74407,0.62349,0.72376,0.4559,1.26782,1.15138,1.40692,0.0013367,0.0013367,0.0013367
69,3592.36,1.38439,1.3723,1.5112,0.695,0.65112,0.71527,0.45228,1.27755,1.12844,1.39822,0.0013268,0.0013268,0.0013268
70,3649.79,1.35927,1.37859,1.50791,0.69847,0.6304,0.69841,0.44746,1.25138,1.15433,1.40599,0.0013169,0.0013169,0.0013169
71,3706.71,1.34915,1.34591,1.49458,0.6969,0.62479,0.69764,0.44469,1.25365,1.16274,1.39299,0.001307,0.001307,0.001307
72,3765.12,1.35489,1.35317,1.50165,0.7028,0.63615,0.71075,0.45402,1.27447,1.14462,1.40929,0.0012971,0.0012971,0.0012971
73,3822.32,1.34703,1.33028,1.48561,0.68755,0.65495,0.71059,0.44671,1.25416,1.13922,1.395,0.0012872,0.0012872,0.0012872
74,3879.02,1.34388,1.35115,1.48815,0.68969,0.63328,0.69956,0.43196,1.31387,1.17297,1.42576,0.0012773,0.0012773,0.0012773
75,3935.9,1.34199,1.35475,1.48928,0.70124,0.63731,0.7097,0.45603,1.24644,1.14561,1.40466,0.0012674,0.0012674,0.0012674
76,3991.04,1.34356,1.33575,1.48985,0.69176,0.67012,0.72292,0.46875,1.21965,1.11889,1.38178,0.0012575,0.0012575,0.0012575
77,4046.43,1.33775,1.32792,1.47518,0.69704,0.65688,0.72127,0.46036,1.26866,1.11791,1.40252,0.0012476,0.0012476,0.0012476
78,4101.29,1.34383,1.35538,1.48261,0.7025,0.66379,0.7289,0.46528,1.30008,1.10348,1.41082,0.0012377,0.0012377,0.0012377
79,4156.31,1.32827,1.32909,1.47079,0.67776,0.6563,0.70485,0.44882,1.24437,1.1397,1.39656,0.0012278,0.0012278,0.0012278
80,4211.15,1.33929,1.32187,1.47828,0.73343,0.6542,0.73852,0.48214,1.20377,1.07455,1.37927,0.0012179,0.0012179,0.0012179
81,4265.71,1.30879,1.30713,1.45785,0.70433,0.66377,0.72151,0.46939,1.19279,1.10645,1.35772,0.001208,0.001208,0.001208
82,4321.12,1.3182,1.30853,1.45935,0.71098,0.65996,0.72783,0.47315,1.23996,1.09441,1.37324,0.0011981,0.0011981,0.0011981
83,4375.96,1.32568,1.30956,1.4726,0.73302,0.63701,0.72393,0.47253,1.21763,1.10613,1.38119,0.0011882,0.0011882,0.0011882
84,4432.38,1.30718,1.29185,1.45408,0.69836,0.67242,0.72862,0.46424,1.24873,1.10524,1.39276,0.0011783,0.0011783,0.0011783
85,4488.85,1.31695,1.27834,1.4529,0.72498,0.63443,0.71876,0.46701,1.23994,1.09728,1.39564,0.0011684,0.0011684,0.0011684
86,4545.43,1.31526,1.29743,1.46117,0.74171,0.64537,0.73253,0.48325,1.18963,1.07725,1.35714,0.0011585,0.0011585,0.0011585
87,4600.7,1.29766,1.29776,1.44615,0.73211,0.64479,0.7203,0.47108,1.21639,1.10012,1.36823,0.0011486,0.0011486,0.0011486
88,4656.07,1.31194,1.29386,1.46133,0.70765,0.66891,0.7281,0.47479,1.21357,1.07572,1.3741,0.0011387,0.0011387,0.0011387
89,4711.49,1.28516,1.27333,1.43851,0.70333,0.65055,0.71188,0.46619,1.19131,1.09493,1.37258,0.0011288,0.0011288,0.0011288
90,4768.05,1.30538,1.28587,1.45854,0.71324,0.67012,0.72707,0.47362,1.18951,1.08163,1.36927,0.0011189,0.0011189,0.0011189
91,4822.62,1.30213,1.27807,1.44499,0.70005,0.66377,0.723,0.46183,1.23796,1.10108,1.37738,0.001109,0.001109,0.001109
92,4877.99,1.29472,1.27548,1.43683,0.73055,0.67118,0.73773,0.48272,1.21661,1.05774,1.37807,0.0010991,0.0010991,0.0010991
93,4933.44,1.28851,1.25443,1.44203,0.72785,0.66436,0.73967,0.48468,1.20373,1.03992,1.3704,0.0010892,0.0010892,0.0010892
94,4986.76,1.28232,1.25928,1.43788,0.72385,0.65688,0.72252,0.469,1.22701,1.08981,1.38671,0.0010793,0.0010793,0.0010793
95,5042.06,1.27252,1.23985,1.43547,0.72959,0.67012,0.73861,0.48579,1.18321,1.06642,1.36899,0.0010694,0.0010694,0.0010694
96,5097.94,1.28776,1.26652,1.44914,0.70979,0.67703,0.73612,0.47925,1.20683,1.06446,1.37605,0.0010595,0.0010595,0.0010595
97,5154.36,1.27666,1.22217,1.42875,0.7372,0.68048,0.7443,0.49336,1.18077,1.03656,1.35069,0.0010496,0.0010496,0.0010496
98,5210.9,1.25979,1.21704,1.41538,0.71502,0.68912,0.74067,0.48941,1.20287,1.04556,1.35385,0.0010397,0.0010397,0.0010397
99,5266.08,1.27554,1.2244,1.42935,0.74037,0.67645,0.74773,0.49168,1.19609,1.04492,1.3606,0.0010298,0.0010298,0.0010298
100,5321.25,1.27909,1.23539,1.43117,0.72909,0.6943,0.74635,0.4868,1.2017,1.0348,1.35833,0.0010199,0.0010199,0.0010199
101,5378.27,1.26451,1.21923,1.41481,0.72823,0.66609,0.73584,0.48087,1.19982,1.06364,1.36423,0.00101,0.00101,0.00101
102,5434.44,1.2635,1.22731,1.4342,0.72105,0.69603,0.74499,0.48837,1.18428,1.04037,1.34521,0.0010001,0.0010001,0.0010001
103,5488.71,1.24438,1.19935,1.40774,0.73442,0.66897,0.73999,0.49005,1.18314,1.04199,1.34816,0.0009902,0.0009902,0.0009902
104,5543.78,1.25633,1.20645,1.4197,0.74667,0.67876,0.75183,0.48915,1.22222,1.01917,1.37019,0.0009803,0.0009803,0.0009803
